Target,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
KLHL20,17.01708366061793,50.42872497233737,-17.15413908769785,71.64614766246777,-19.72231205063336,30.6480894837823,-24.633017171502736,-20.52855692800856,-0.28717098337340063,-23.836464719644734,120.2317974374936,45.280971327167634,-71.07044479891212,43.96479217045329,-5.953778269313403,-8.210823149039902,18.25791946584853,-16.417881872454053,-3.3240965690685718,2.7955453318810726
KLHL22,-18.609106296664333,-49.14886852888222,-70.81477002762406,-162.85438381145275,-47.511026707293254,-93.87614907216228,-105.93420902829195,-72.57706293214804,-40.058572553448904,-66.50992393516451,-53.16003731625912,0.1870410245017391,-54.72500431649625,-194.3468060477825,-43.120648603595775,-56.50551421371145,-86.26481475783214,-77.98910439995979,-62.81690996723821,-47.52680603580789
KLHL24,45.36935203411183,72.62070966028361,40.52918738398718,109.4213745497436,61.53574530980424,30.105119756060937,42.954950779186774,52.244524336118424,30.299860244603163,45.1947794126395,104.09419266741753,95.89305201243133,-165.5089022122435,252.2858113946957,11.086590461283906,23.967826213833817,56.34857856622042,44.014060666513046,20.042920107959073,28.931461654678493
KLHL29,-33.6535546049925,95.02941473276903,-39.87193985304102,60.75642561782232,-15.971514604264321,9.002467474864723,-11.39943850281062,-36.245103924645896,-30.223874066449333,-13.788697688934956,-16.625813095847956,5.6294137217779285,17.631360065745767,30.825001080157353,-26.11732703103369,-18.35052283392883,-12.962479425981371,-14.691255814450086,-21.9674496566324,-31.479579711927858
KLHL4,51.94873429207241,65.8735687800647,43.5468715001982,52.38491099081376,57.80522997771572,64.78192040320539,11.602780950409917,45.920646783599345,57.34926358426484,47.770608128140445,98.2410125790889,74.5837697269199,70.36716404964866,131.9624021126384,40.00129272502379,30.60031042035917,49.03881417797776,52.644818742051726,46.941653911379454,23.070619518653775
KLHL42,-7.359425674827945,-89.77255390149233,-44.64968678013542,32.31266092738535,-27.219548947569788,-44.045438944777345,-70.60658394524759,-47.804439717285845,-58.5484007827441,-42.48085867623603,-34.081013240174784,59.82682421049522,-84.33459493637383,-42.51103829720134,-57.97886443361768,-52.353528803147306,-51.09466985528431,-25.659024181880632,-74.65528270722938,-17.966640656864044
KLHL5,97.27673238920485,65.87654702770575,45.386587514656206,40.17311545814498,82.9882401507622,48.9167104493835,82.94770280116754,43.552319432615846,64.30057762932512,42.17041858204787,-9.4470867656167,94.50884918251873,63.830299212982105,224.66579364100568,52.53855735394883,40.09415042158851,20.283966565743448,68.87305162458898,49.32470461172358,54.256273936952404
KLRB1,25.37971904385266,125.642633160003,30.917247050616513,31.88104305469215,-20.334236079685624,78.79908417979073,51.971355449567376,-7.738225426581835,27.625354247168726,31.9779329801063,21.078349421306406,8.74024214847722,111.1249350427872,98.93910287100593,14.206155673555692,10.582055972364603,31.347690066761622,17.678471002146456,22.917990117210802,41.12198015169789
KMO,90.537881159383,121.93699759054742,52.937689921183555,51.05529525449812,37.72397375668044,56.453496716990166,41.87752021148154,65.28012897696736,60.71276608642088,48.534152580144514,148.7561925406235,-2.8302956165339905,29.184296005369653,197.348810039693,54.74452270471808,29.13781890324133,69.14500387817237,70.38720092036976,66.02705344057824,88.84062748847678
KMT2A,-34.4864762841908,61.346730611288464,-24.747734940332375,1.825782899648754,-24.118586006509165,17.860424413639034,-2.1767066681354548,-42.88221746396071,-27.654754032026027,-38.306425865427926,64.31035167984932,-28.75510671274629,6.722380571603213,51.65684878659038,-30.021472770320695,-51.05974767051769,-9.58410416591208,-20.40811617689268,-33.33491257258644,22.692776949641463
KMT2C,49.4573125607689,88.10024937559866,17.25408278709386,69.83993071511263,13.404431247673715,50.922957774295064,29.62204924031871,-46.46023063003173,14.999685673665846,15.741231719895705,94.97055787809786,11.777765817901436,63.87472721710514,93.94944231309135,2.6439524851145784,14.881879102451261,32.529323267694714,13.715303390207465,10.807687141925337,74.44315215303851
KMT2E,5.429140368079887,44.922680114946566,-28.074553836969272,18.212702677077946,-33.40544034277897,-3.530204724133,-13.089420636802252,-49.474611035546026,-29.27760555703631,-32.1261178685035,12.388137607054004,-16.233791993535444,-6.81016480490534,53.9117074832684,-32.29146064108536,-49.78653933584852,-14.787495867497883,-24.84687335226001,-33.38602691221768,29.165379565793295
KMT5B,83.69344585614775,75.8991120604014,48.665692580692884,93.3515600649087,54.17476145681432,38.73936122673218,58.144443872658,49.55711127494762,58.06143944690534,10.373288711575453,148.80625505159705,76.63333959887746,85.41010024084665,99.20896840369558,43.557437641405514,53.60445454393207,53.64168211218947,37.26929563413895,46.85639092717902,109.6943838863263
KNG1,4.898027307250047,209.69889814696532,80.14916090955121,121.59938842284055,86.12763378663644,53.20196104071885,16.55035057602418,38.15353839084417,73.94310362017396,49.41038305571899,-15.043783027699106,-1.0897884684895804,121.47277344959352,-1.8463108372110737,45.55457840055784,47.60790435510639,54.22145162371098,70.68271830300577,53.856167661121454,14.302985212736377
KNOP1,-35.410729953058116,-51.29424561437203,-1.4581767437570146,-38.66439439613384,-6.8742315976008905,-28.740110766121617,-6.8519046247486415,16.76340511532696,-22.629749512254314,-2.7706670429430384,-21.118775798319433,-56.82688807658164,31.137558023802832,-6.370988816712272,-9.764938513415938,-8.511849279014996,-9.788305167544987,5.545368454889237,13.385902511538099,-45.674102434104405
KPNA1,5.233730127984122,121.41305154289977,-16.4695107001222,201.34643518839565,59.04394214456915,-54.66683009417354,-21.87828634014987,-43.68500897328969,-48.2175608533106,-17.972344493112082,15.01898795901966,-40.945730931233136,-252.90543011571194,-5.448843719956674,-50.83000762215728,-5.012162333552453,-20.45209184557665,50.29165493286048,-4.31857995743022,91.1596954280397
KPNA3,54.06513151016231,84.07178962554752,3.3611259418090382,62.59499582228005,11.550257395463216,51.95363364809624,-16.946030755501504,-29.432835561945033,3.180714200161009,-4.527940070668477,77.34784008711395,22.763254747259733,28.524316765190974,58.794555353324014,-28.142203444685496,-43.90284718573379,25.18140494373392,8.576940201688599,-47.88109200107824,43.09061011346914
KPNA6,-92.43843944254512,131.00414211372097,-91.78982681652515,68.57191124907528,29.16424613803678,47.675792965076226,22.97537836147278,-18.85110498125266,-69.70205817927842,-7.547940924496151,40.92544890334323,-144.4694320144085,-39.05335615932385,22.315473090854585,-21.449744681657513,-45.64371692301602,-202.23208185957108,2.076134417692418,-38.76815143897931,125.64301775843573
KPNB1,40.04401338997866,25.33990908539185,-27.51333708583419,187.9141783367427,17.012209440466634,12.07371569715329,-70.77548604929157,2.122400539987316,-12.01525980460955,-7.7258958089942915,-86.44308753187764,62.603607559723315,-66.70659681788534,3.0168440278063784,-7.44721489624798,0.25922608109377165,-22.485885017087792,45.82991143509663,-21.018477910438158,-11.432256550528681
KPTN,-87.0921144574101,-125.72375721468245,-86.37784599247276,-98.8818450805259,-81.5800271366636,-100.80999654036829,-106.81379901088505,-86.72104916890396,-85.50779744827855,-88.45828539121634,-106.88543009817697,-80.88080937012357,-111.82499799278672,-118.45241365914772,-88.91441086713874,-88.17435058415222,-61.983077055426754,-88.71250343564405,-89.20842843175052,-89.06170633995963
KRIT1,-44.38291699200517,-25.441203099356756,-43.33894704894537,-83.8299255544663,-59.207501256818475,-102.33708707144237,-29.73269880903735,7.665848745326232,-41.34023167191319,-33.096572401090214,-152.38207370029681,-89.77211406673483,-37.22443057050514,-92.47459577490568,-31.344740535324362,-26.607318333400737,-21.264878976603512,-63.500701017378624,-5.672530162497868,14.674435557096595
KRR1,-16.81835340391654,124.38422334019218,-34.4632950041554,55.14770720212139,-2.146166230360375,-93.16661498319188,-5.909412095844894,-11.439178469514669,-48.34403076378995,-8.777317563471827,81.04857159552951,-23.834707332240036,-9.348331254295918,5.176392886043846,-34.85127909506217,-12.263163841744309,-48.17974581661858,-9.281566836934015,-18.041790041704413,24.88036844798097
KRT18,-11.759495997168958,-145.88198526518818,-47.78161102340052,-109.39578385049572,-64.68302959855663,-96.81232873640633,-13.15636889329146,-1.8228788919669654,-66.38675331036418,-50.27409514263382,-67.40473142193608,-12.757308791510647,14.35088042480468,-123.86922852737445,-50.09621956502537,-38.32068613979397,-43.98857908950624,-56.68417238664056,-17.55004848520458,-50.9055337794094
KRT23,110.29848458941456,18.643156500627704,32.09192870697644,-106.9021665384504,-27.981031540580425,73.18501491762734,56.192066400397415,43.51255769502126,52.92753220510727,15.45902654992397,-84.12130182274349,305.6763014435458,-87.6955444609967,52.1839544300935,25.17127899408708,27.529482762984113,82.97760335310278,3.25926222207658,26.744911765211143,55.9204894936396
KRT31,79.70327327558175,-48.65570206202301,-36.832554538796245,35.44563081656609,43.34715392865062,1.2507179370746329,29.032528192759575,-14.286740084855525,4.831366596475311,-35.00152430499733,-142.56744735272233,14.030587604799141,84.16165247594772,75.7790487818613,-15.498754000867676,-40.79662283843105,-42.92331121184085,22.86772101670444,-25.391855351936293,78.10672788242285
KRT32,-23.827402283360595,-133.32595552935229,-26.549250458600575,-199.001803757141,-51.04053182053684,42.25396585857998,-3.29868330408914,7.8381579171622695,6.999445130487165,22.629219255487868,-254.84523057631242,49.51517515807404,20.55647100743776,141.70027276923037,-12.143061218906329,-1.7104496143601455,4.912758731633703,57.274484334031186,-3.3674875478822326,40.057027947557884
KRT33A,52.92414310761526,-185.3403669804583,-19.354078333050854,122.15974715530639,24.557377133647474,-51.834717933511016,-39.06002025057186,-22.10552581056797,-34.55834745736908,-12.222428047281284,112.67543499018751,64.31902685774638,-14.384378273169965,165.49742974834675,-24.2692113769428,-15.947275137980146,-145.26058964359203,36.18838526925112,-14.356898321855162,-41.16862958007883
KRT37,80.02728482442733,-170.71925535842337,3.330560610507997,-32.01293717858734,-39.573171183433686,-58.410416218712854,-19.247414700275396,39.62636136764758,-6.007638997680441,24.19613111739894,26.9281402405533,-0.19001360068676765,89.57294860544299,39.51607731924382,-1.765203078860583,13.324942983553019,-18.53010423385097,31.763393791373055,88.6543264067919,-2.087075432682326
KXD1,-11.175379175393124,-20.406896325626267,-0.44928712227448653,-18.453239333749433,14.421613481062543,-11.63879266930641,0.9449386215859805,4.21607596174794,4.992441484405223,0.47238137625213783,-39.95907698047396,-21.75763752745615,-32.76592674479501,-23.846566954816677,49.58823522889366,0.6562718769594249,0.22053918460425526,-3.192343886165977,2.934820475788675,-28.180457721373756
KYNU,-51.31635944026734,37.91163557240212,-16.22516461224818,13.176711575378736,6.083758119407855,18.29363061376097,-38.05871761483398,-30.138053656514927,-21.848515695025274,-18.129589508499492,-84.7598380583037,-32.55857943632262,-205.52633651684994,61.17071595865308,-16.884938377215782,-10.912600539645792,-36.51166430955381,-7.6345212164196905,-14.754184955877552,4.5194379106694
L2HGDH,-47.26612237430515,-30.701205016974917,-47.956475088098486,71.61484096469547,-6.119731823902878,-73.03188685158429,-69.65462803830602,-29.257279176379438,-82.1837077083648,-51.65244462585492,-14.79293253866248,-122.95815556145037,-192.65639581011752,-126.00873394263003,-47.811610837800174,-46.2311789225178,-18.66169102995952,-29.854714026227857,-48.00309640100443,52.864506293598005
L3MBTL2,-53.048296095542426,-86.93603185879421,-65.51508430783278,-74.81503443782968,-81.9001543149214,-57.69243612397813,-91.61420137586414,-57.81332648962541,-71.12897664180254,-52.88901127797891,-103.37611668144194,-65.75685812301522,-66.07662033395523,-175.13131417817775,-49.2266672171087,-56.15843801676175,-68.2369026890859,-67.80939390631106,-65.77554422937395,-64.92296883746303
