TF,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
MSANTD3,820.4695203854568,684.2652578738106,1131.0950122716522,387.44825863780665,1087.6683138975543,1113.8408759765614,1113.9566968202303,1117.5080130074589,1201.4178547191987,1081.763005418148,1098.927729560479,1151.0116067798044,1109.3303848769679,971.2171803203836,989.9478789608534,1126.9699684707493,1147.2282701514387,1115.251795931642,1080.3884591152116,713.2707568599226
MSX2,-1676.9365618337501,-1213.028324208869,-2025.0762473111938,-993.390753941272,-1841.5716655989352,-1885.0758178398087,-2159.573048765641,-2230.848094305543,-2164.3339938599665,-2100.4591170648855,-2213.7256597109044,-2061.21181246986,-2245.646629266295,-1962.607549656187,-1993.3274724273538,-2188.8931863920284,-2255.143788095901,-1967.481394313722,-2300.3335444808517,-1657.3958028599864
MXI1,-799.1576827528396,-614.7309998286049,-724.6715951494855,-930.081099987831,-1079.0178886084364,-581.8067167952825,-945.3649274203839,-1083.6485343244412,-539.3308070724358,-990.6778940405593,-754.6432497144109,91.50033306253067,-1278.3923004129024,-1271.8689920075485,-975.2985390382851,-892.1063486728233,-1092.5897669580454,-1025.970120766906,-1153.4745427871576,-771.3608643216228
MYB,-863.1314562208698,-545.9678497610673,-1255.388345619284,-769.7249617386813,-865.8855682739846,-994.0210635726065,-1131.494421463754,-1209.1574922514144,-1040.5518235483435,-1183.5389555674426,-1153.7078203865342,-1275.193603515524,-1391.1251212910233,-943.312291659462,-1210.5890059069027,-1263.1915457715616,-1210.3608317284293,-1158.5805292054463,-1156.9045678977654,-997.3492736531741
MYBL2,-2602.6079515013016,-2311.5678505726905,-2774.563674005439,-2322.8230156655272,-2773.5323196837767,-2646.0735087652115,-2767.4166953453973,-2795.1089491589255,-2829.0019139681835,-2725.195059300616,-2404.9717416219833,-2988.86991906207,-2753.711464879738,-2516.229951133494,-2629.848289890694,-2809.3819804683176,-2740.958918639043,-2874.6483851265402,-2809.238633325878,-2404.862841149008
MYF6,-1043.1059836891036,-609.8256024814406,-1428.691957180021,-555.5164188268623,-1422.4573321539403,-922.25997005541,-1462.016941886495,-1572.6083577953127,-1303.2239044018859,-1473.8645906349268,-1630.6643550768588,-1038.1508425456457,-1722.5319642746836,-1441.45477808382,-1397.5570560036283,-1594.672908918572,-1603.9691865664036,-1415.621290730765,-1525.4161616462538,-1095.0314307943954
MZF1,753.2290473057307,165.14417912167943,802.1479676545512,899.7409765498362,808.1293811630657,323.59825094030396,764.3549511275717,816.49967746357,811.5515656323622,696.9516618739882,1480.8497485358541,821.0774935386145,-122.23987920016472,-870.4406568290939,1135.8217584431065,691.3421656805115,732.0804703133055,603.2054331738293,764.4203506736777,1509.7854564573984
NFAT5,1308.354973448833,1776.1828647433806,881.0199918751744,2518.4769384183896,1105.4223674794384,1286.4012380714412,762.9483653155534,635.9613886514843,920.3582370969845,784.9531350370196,47.23410797109147,1216.8603888945909,379.3397813613963,719.7287504686632,866.6929743458049,698.954714040902,423.30968884306793,1145.4863428441029,786.9359601368626,961.8526150339926
NFATC3,228.69764613239386,737.6296060867554,-225.04425273623704,1343.1442901670111,25.588038485685612,257.5465693799282,-265.0835061792878,-395.86993817116644,-75.62649902989624,-229.78338195422265,-844.7511000596801,75.07713897421495,-594.4150407660164,-185.06657696437185,-117.78252846260405,-323.00682692450124,-527.6986283509995,159.38652508288106,-304.2229911368145,-7.040612076909381
NFATC4,123.38730829852929,545.0150976229983,-341.68802464959055,1074.0842157165744,-172.8873475678583,96.96822511637174,-391.46297561941765,-486.9813097386747,-327.0065250832459,-377.0801771629184,-946.0950476583214,-33.31615351415193,-650.9504416773862,-231.50399897483356,-281.4315847154223,-451.9568807825331,-660.7304507128431,-129.04408813179742,-439.07807637024905,-129.2544754854641
NFIX,2249.971610272573,1910.0692056955315,2605.5960625850994,1472.8367471025895,2374.0337551929115,2563.709954288593,2505.0600048657557,2483.5931785533126,2658.3312103249636,2439.318082849161,2365.1941372819215,2784.457407995548,2370.8587775271976,2187.8808061911122,2135.225904744409,2518.6432279746273,2436.3728317907526,2483.1716986079164,2615.082645162019,2018.7536574638727
NFKB1,785.5124208845642,391.4003976306906,1096.10395890187,0.2271398141416454,821.1411011775266,914.8610717073282,1067.9355999138165,1124.2790561754935,1101.1017974268036,1037.1980081668241,1395.9040026285668,914.1099553677901,1291.5963570294753,975.5777029819734,964.3309902470712,1149.1232981832677,1213.9035918142217,993.0671303591707,1011.6556163725976,712.1246914162105
NFKB2,600.4714100376815,272.80885965937,911.3469179939831,-242.47959741213475,625.4587610008026,799.6602138931881,843.3150253827745,893.6987255777656,968.2839875522087,798.1651692268329,1038.1438933980087,903.2618161322696,1005.4833316015787,645.0547887982119,736.7519838622184,986.4894506220389,960.611051403435,864.9886154096466,760.2105104454699,580.1255134982085
NFYA,-22.90599821721752,245.84382799045727,-141.00432656674735,-211.09731299438968,-16.731423349864468,-7.486360254873887,80.65428016064072,179.3759687488099,-185.4801287138599,133.54282730878631,618.1906536722032,-435.6693436858465,442.3719780939108,627.4807971510392,-34.70788339787573,7.807027867118222,336.9528588251767,-36.53917033309321,158.87249325726793,308.84504751697824
NFYC,-64.2643906436293,203.23278288874164,-237.11853938914805,-286.64450214124884,-119.03078143209926,-70.1184801818843,-23.82943407248585,58.544630340692166,-278.91021323237595,22.94393878312833,536.8346762725806,-454.43280863380136,341.49240460130306,474.8769717520511,-137.13231726009462,-95.70841619641017,280.5669956922771,-121.67526095444569,69.20931040064349,350.9909767517111
NKX2-3,-546.4358189848211,-176.00893999520522,-922.322965378172,188.10955327287712,-720.7775178815633,-460.3410822455797,-877.9744289064749,-948.4015377435692,-781.3961637508372,-857.0599389862598,-1009.292616301275,-704.0598224868229,-1011.9685307509118,-915.5886234481914,-751.2168445037505,-899.8177729977851,-1015.3155814762655,-704.4698474098238,-873.152554585022,-646.0272396977829
NR2E1,-288.5912208261334,492.965807797509,-870.8332027441903,935.3486819956844,-464.3707025474108,-514.7902909839213,-944.9654375964975,-1157.7223016874489,-881.316880375514,-901.2119144509165,-1412.3707249560518,-652.7308227835869,-1320.0997388312871,-676.1629093678443,-842.8394761299778,-975.1488512958015,-1187.1352877172037,-572.843467285022,-936.4241444868937,-389.8805816416061
